OBJECTID,Sistema_de_Transporte,PK,POINT_M,NEAR_FID,NEAR_DIST,GlobalID,Latitud,Longitud
93,Poliducto ODECA | Herveo-Manizales,K115+000,115000,29,0.155218747481803,{40BD8B4F-C113-4F5C-A0F4-1098B8D7A724},5.01330145078656,-75.3433573217302
94,Poliducto de Oriente | Sebastopol - Santa Rosa,K82+500,82500.0000000002,45,1.14083417337271,{52BAF9DF-3862-4A36-9E0A-911154439BD4},6.17870489546386,-73.9005859738855
95,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K322+000,322000,52,0.239283923989768,{DDE23962-F72C-49BB-B979-E892D0B3F70E},8.60054027799561,-73.610958046552
96,Poliducto ODECA | Mariquita-Fresno,K57+500,57500,113,1.79292979203763,{8773EBCB-D1A0-47C1-94A9-1C40B02F28AC},5.18349093673707,-74.9497334396329
97,Poliducto Cartagena-Baranoa | Cartagena-Baranoa 12,K89+000,89000.0000000002,104,0.145830424298037,{8915104A-4EB8-448C-8217-64C6BBD4C0B8},10.7516020504201,-74.9387332961745
98,"Poliducto Galan - Salgar de 16"""" | Sebastopol - Salgar 16""""",K247+500,247500,65,0.263276376135265,{95B08764-08BE-4D29-91CD-5DADAA448162},5.46784638843706,-74.6356394904059
99,Poliducto de Oriente | Sebastopol - Santa Rosa,K2+500,2500,45,0.255292910068713,{F9C1B111-92C6-4902-B000-C69B7E33AB1C},6.484291217372,-74.3757207281311
100,"Poliducto Galan - Salgar de 16"""" | Sebastopol - Salgar 16""""",K230+000,230000,65,0.057139642566943,{4A400F80-D8AE-4C2C-8FD3-C4E699D6B9A0},5.61817268323501,-74.6212162915323
101,Poliducto Galan - Chimita | Trampa Tienda Nueva - Trampa Guayacan,K64+500,64500.0000000002,105,2.01806211655208,{846C2555-C23E-4AA5-B10F-B84C1262EDBC},7.11668277400278,-73.3806121619409
102,Poliducto de Oriente | Sutamarchan - Tocancipa,K244+500,244500,60,0.526859045007476,{F889A7E4-6B70-411B-99D3-BC67B4484DEB},5.17523361206424,-73.778154654946
103,Poliducto Medellin-Cartago-Yumbo | Cartago-Yumbo,K1+000,1000.00000000023,71,0.065234833661098,{B39BDE2F-1537-48F5-8C98-B8EEB8D94535},4.72180768646373,-75.9224317454232
104,Poliandino | Monterrey - Apiay,K167+000,167000,56,0.055019406543174,{B7FA2383-68E0-4C8C-8BE8-62247189DAB5},4.69350610223413,-73.0313538282718
105,Poliducto Pozos Colorados - Ayacucho - Galán | Ayacucho - Galán,K491+000,490999.999999999,64,0.007091590735012,{E515D459-46C0-4E7B-83CE-753890060519},7.21712976275595,-73.794886042741
106,Poliandino | Miraflores - Monterrey,K84+500,84500,111,0.108198875023134,{0F718D6D-D389-4C06-BAB6-F08229E9C2C3},5.177709782011,-73.1341581753204
107,Poliducto Galan - Chimita | Galan - Lizama,K87+000,87000.0000000004,66,0.397358867282727,{24D92566-6F0F-4726-AD07-0F4704F59996},7.10897470136756,-73.651521628399
108,Poliducto Medellin-Cartago-Yumbo | Medellin - La Felisa,K46+000,46000.0000000002,112,0.474056478653819,{B91FA84F-E540-47DD-AA38-B6E0242FABC3},6.10680190980819,-75.6521923860211
109,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K283+000,283000,52,0.40938661723553,{14D6B6DF-6A2A-40A8-8EF9-9C0563CBADA2},8.91050515389928,-73.6659561645345
110,Poliducto ODECA | Cartago-Zarzal,K7+500,7500,62,0.274071472997819,{76E5B0D4-4D91-4924-8521-94F1074F069C},4.66834393456826,-75.9434633515176
111,Poliducto de Oriente | Santa Rosa - Sutamarchan,K138+900,138900,50,4.68121324796722,{A41B5AAE-E0BE-4B8A-B58B-9BC94FEF735A},5.92596486341682,-73.6769448670571
112,Poliducto Pozos Colorados - Ayacucho - Galán | Ayacucho - Galán,K389+500,389500,64,0.181814315005797,{6090F32A-A44E-472B-8C3C-480D314CC708},8.01710473143486,-73.5834682173491
113,Poliducto ODECA | Manizales-Cartago,K162+000,162000,107,1.5456726334696,{96529B13-7F01-4E17-8F39-FFCEF5E4CF28},4.92566507600131,-75.6288074607327
114,Naftaducto Chichimene-Apiay | Chichimene-Apiay 10,K2+500,2500,46,0.112949088372945,{B6793040-E5FC-4A9A-97AA-94DDCC0747E2},3.94217446624506,-73.6682597098406
115,Poliducto Buenaventura - Yumbo | Gallineros - Estación Dagua,K50+500,50500,68,0.190747565793931,{DCF5A1A8-1962-440E-ABDC-C137341EAB11},3.76908855450463,-76.7483403289342
116,Poliandino | Sutamarchan - Miraflores,K64+500,64500.0000000002,57,2.54682485760257,{D7E24643-8296-448A-9E7D-CCBCD2298DA6},5.26979028633421,-73.254851231815
